{'loss': 0.1209, 'grad_norm': 2.171875, 'learning_rate': 1.996875e-05, 'logps/policy': -75.1702880859375, 'logps/anchor': 0.07197674363851547}
{'loss': 0.1135, 'grad_norm': 2.609375, 'learning_rate': 1.99375e-05, 'logps/policy': -47.29938888549805, 'logps/anchor': 0.07963601499795914}
{'loss': 0.0957, 'grad_norm': 2.171875, 'learning_rate': 1.9906250000000003e-05, 'logps/policy': -44.91205596923828, 'logps/anchor': 0.07304993271827698}
{'loss': 0.1112, 'grad_norm': 2.765625, 'learning_rate': 1.9875000000000002e-05, 'logps/policy': -46.661376953125, 'logps/anchor': 0.09148703515529633}
{'loss': 0.1554, 'grad_norm': 3.125, 'learning_rate': 1.984375e-05, 'logps/policy': -59.15459442138672, 'logps/anchor': 0.13223691284656525}
{'loss': 0.0925, 'grad_norm': 1.9140625, 'learning_rate': 1.98125e-05, 'logps/policy': -56.73711013793945, 'logps/anchor': 0.061510030180215836}
{'loss': 0.1906, 'grad_norm': 2.96875, 'learning_rate': 1.978125e-05, 'logps/policy': -69.85838317871094, 'logps/anchor': 0.15485474467277527}
{'loss': 0.1218, 'grad_norm': 2.234375, 'learning_rate': 1.9750000000000002e-05, 'logps/policy': -59.10413360595703, 'logps/anchor': 0.08789107948541641}
{'loss': 0.1514, 'grad_norm': 2.25, 'learning_rate': 1.971875e-05, 'logps/policy': -80.78668212890625, 'logps/anchor': 0.10454552620649338}
{'loss': 0.1342, 'grad_norm': 2.40625, 'learning_rate': 1.96875e-05, 'logps/policy': -53.49125671386719, 'logps/anchor': 0.10655149817466736}
{'loss': 0.1236, 'grad_norm': 2.28125, 'learning_rate': 1.965625e-05, 'logps/policy': -51.4544677734375, 'logps/anchor': 0.09591895341873169}
{'loss': 0.1981, 'grad_norm': 3.28125, 'learning_rate': 1.9625e-05, 'logps/policy': -74.60975646972656, 'logps/anchor': 0.17419691383838654}
{'loss': 0.1766, 'grad_norm': 3.03125, 'learning_rate': 1.9593750000000002e-05, 'logps/policy': -50.49994659423828, 'logps/anchor': 0.15807011723518372}
{'loss': 0.0934, 'grad_norm': 1.8984375, 'learning_rate': 1.95625e-05, 'logps/policy': -58.825828552246094, 'logps/anchor': 0.06170090660452843}
{'loss': 0.1366, 'grad_norm': 2.203125, 'learning_rate': 1.953125e-05, 'logps/policy': -41.978782653808594, 'logps/anchor': 0.1220986396074295}
{'loss': 0.0969, 'grad_norm': 2.0, 'learning_rate': 1.95e-05, 'logps/policy': -48.07416534423828, 'logps/anchor': 0.06970763206481934}
{'loss': 0.1437, 'grad_norm': 2.921875, 'learning_rate': 1.9468750000000002e-05, 'logps/policy': -50.55763244628906, 'logps/anchor': 0.12177857756614685}
{'loss': 0.1203, 'grad_norm': 2.109375, 'learning_rate': 1.94375e-05, 'logps/policy': -66.09418487548828, 'logps/anchor': 0.07857124507427216}
{'loss': 0.1967, 'grad_norm': 3.28125, 'learning_rate': 1.940625e-05, 'logps/policy': -60.28648376464844, 'logps/anchor': 0.17964905500411987}
{'loss': 0.1643, 'grad_norm': 2.765625, 'learning_rate': 1.9375e-05, 'logps/policy': -76.79891204833984, 'logps/anchor': 0.12295215576887131}
{'loss': 0.1465, 'grad_norm': 3.65625, 'learning_rate': 1.9343750000000003e-05, 'logps/policy': -38.103904724121094, 'logps/anchor': 0.12856996059417725}
{'loss': 0.1112, 'grad_norm': 1.9140625, 'learning_rate': 1.9312500000000002e-05, 'logps/policy': -49.132965087890625, 'logps/anchor': 0.08099203556776047}
{'loss': 0.1164, 'grad_norm': 1.90625, 'learning_rate': 1.928125e-05, 'logps/policy': -63.87181854248047, 'logps/anchor': 0.08644770085811615}
